shrid2,pc01_state_id,pc01_district_id
01-09-48-0004-06149900,09,48
01-09-48-0004-06150000,09,48
01-09-48-0004-06150100,09,48
01-09-48-0004-06150900,09,48
01-09-48-0004-06151000,09,48
01-09-48-0004-06151100,09,48
01-09-48-0004-06151200,09,48
01-09-48-0004-06151300,09,48
01-09-48-0004-06151400,09,48
01-09-48-0004-06157800,09,48
01-09-48-0004-06157900,09,48
01-09-48-0004-06158000,09,48
01-09-48-0004-06158100,09,48
01-09-48-0004-06158200,09,48
01-09-48-0004-06158400,09,48
01-09-48-0004-06159000,09,48
01-09-48-0004-06159100,09,48
01-09-48-0004-06159200,09,48
01-09-48-0004-06159300,09,48
01-09-48-0004-06159400,09,48
01-09-48-0004-06159500,09,48
01-09-48-0004-06159600,09,48
01-09-48-0004-06159700,09,48
01-09-48-0004-06159900,09,48
01-09-48-0004-06160000,09,48
01-09-48-0004-06160100,09,48
01-09-48-0004-06160200,09,48
01-09-48-0004-06160300,09,48
01-09-48-0004-06160800,09,48
01-09-50-0001-06425100,09,50
01-09-50-0001-06430600,09,50
01-09-50-0001-06433500,09,50
01-09-50-0001-06440100,09,50
01-09-50-0001-06448100,09,50
01-09-51-0001-06561000,09,51
01-09-51-0001-06568400,09,51
01-09-52-0002-06670100,09,52
01-09-52-0002-06671300,09,52
01-09-53-0004-06869000,09,53
01-09-54-0002-06984600,09,54
01-09-54-0002-06984700,09,54
01-09-54-0002-06984800,09,54
01-09-54-0002-06985000,09,54
01-09-54-0002-06985100,09,54
01-09-54-0002-06985200,09,54
01-09-54-0002-06985300,09,54
01-09-54-0002-06985400,09,54
01-09-54-0002-06985700,09,54
01-09-54-0002-06985800,09,54
01-09-54-0002-06985900,09,54
01-09-54-0002-06986000,09,54
01-09-54-0002-06986700,09,54
01-09-54-0002-06986800,09,54
01-09-54-0002-06987000,09,54
01-09-54-0002-06987500,09,54
01-09-54-0005-07120000,09,54
01-09-54-0005-07134700,09,54
01-09-54-0005-07134900,09,54
01-09-54-0005-07135200,09,54
01-09-54-0005-07135300,09,54
01-09-54-0005-07135400,09,54
01-09-54-0005-07135500,09,54
01-09-55-0002-07227500,09,55
01-09-55-0002-07227600,09,55
01-09-55-0002-07228100,09,55
01-09-55-0002-07228200,09,55
01-09-57-0001-07674800,09,57
01-09-57-0001-07679400,09,57
01-09-57-0003-07729900,09,57
01-09-57-0003-07737500,09,57
01-09-57-0003-07742100,09,57
01-09-57-0004-07745200,09,57
01-09-58-0002-07830600,09,58
01-09-58-0002-07830800,09,58
01-09-58-0002-07830900,09,58
01-09-62-0004-09032600,09,62
01-09-62-0004-09035600,09,62
01-09-62-0004-09035700,09,62
01-09-62-0004-09035800,09,62
01-09-62-0004-09036100,09,62
01-09-62-0004-09036200,09,62
01-09-64-0002-09405300,09,64
01-09-66-0002-10045100,09,66
01-09-66-0003-10138100,09,66
01-09-67-0002-10218700,09,67
01-09-67-0002-10224000,09,67
01-09-67-0002-10226300,09,67
01-09-67-0002-10231600,09,67
01-09-67-0002-10260500,09,67
01-09-68-0002-10385100,09,68
01-09-69-00-46905000,09,69
01-09-69-0002-10479100,09,69
01-09-70-0003-10718800,09,70
01-09-70-0003-10727700,09,70
01-10-02-00-40204000,10,02
01-10-02-0025-00262200,10,02
01-10-02-0025-00262400,10,02
01-10-05-0014-00447100,10,05
01-10-09-0007-00753700,10,09
01-10-19-00-41902000,10,19
01-10-22-0008-02336800,10,22
01-10-28-0006-02954300,10,28
01-10-28-0008-02977900,10,28
01-10-28-0008-02978500,10,28
01-10-34-00-43402000,10,34
01-11-03-0001-00026700,11,03
01-11-03-0001-00026800,11,03
01-13-02-0003-00013200,13,02
01-13-02-0016-00029700,13,02
01-13-02-0016-00029800,13,02
01-13-04-0003-00050200,13,04
01-13-04-0003-00050300,13,04
01-13-06-0007-00100500,13,06
01-13-07-0005-00109500,13,07
01-13-07-0012-00121100,13,07
01-13-07-0012-00121200,13,07
01-14-06-0003-00159100,14,06
01-14-06-0003-00159800,14,06
01-14-06-0004-00161300,14,06
01-14-06-0004-00161600,14,06
01-15-01-0001-00002000,15,01
01-15-01-0001-00002300,15,01
01-15-01-0001-00004400,15,01
01-15-03-0003-00021700,15,03
01-15-03-0003-00021900,15,03
01-15-03-0003-00022000,15,03
01-15-03-0003-00022100,15,03
01-15-03-0003-00022200,15,03
01-15-03-0003-00022300,15,03
01-15-03-0003-00022400,15,03
01-15-03-0003-00022500,15,03
01-15-03-0003-00022600,15,03
01-15-03-0003-00022700,15,03
01-15-03-0003-00022800,15,03
01-15-03-0003-00022900,15,03
01-15-03-0003-00023000,15,03
01-15-03-0003-00023100,15,03
01-15-03-0003-00023200,15,03
01-15-03-0003-00023400,15,03
01-15-03-0003-00023500,15,03
01-15-03-0003-00023600,15,03
01-15-03-0003-00023700,15,03
01-15-03-0003-00023800,15,03
01-15-03-0003-00023900,15,03
01-15-03-0003-00024100,15,03
01-15-03-0090-00024400,15,03
01-15-03-0090-00024600,15,03
01-15-03-0090-00024700,15,03
01-15-03-0090-00024800,15,03
01-15-03-0090-00024900,15,03
01-15-03-0090-00025000,15,03
01-15-03-0090-00025100,15,03
01-15-03-0090-00025200,15,03
01-15-03-0090-00025300,15,03
